t_ms,phase,altitude_m,pressure_pa,temp_env_c,humidity_pct,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x_uT,mag_y_uT,mag_z_uT,gnss_lat,gnss_lon,gnss_hdop,gnss_sats,sbm20_count_window,sbm20_total_count,battery_v,rssi_dbm,fdir_state
0,pre_launch,0.00,101322,18.23,48,0.011,-0.001,1.001,-0.01,0.08,-0.04,23.64,-18.96,41.31,41.2800004,69.2400006,1.2,8,0,0,3.82,-78,0
100,pre_launch,0.00,101332,18.54,48,0.006,-0.006,1.003,0.03,-0.10,0.13,23.69,-19.09,41.00,41.2799996,69.2400001,1.2,8,0,0,3.82,-78,0
200,pre_launch,0.00,101306,18.56,48,-0.012,0.001,1.004,-0.02,-0.18,-0.04,23.57,-19.17,41.13,41.2800003,69.2399996,1.2,8,0,0,3.82,-78,0
300,pre_launch,0.00,101331,18.58,48,0.004,-0.005,0.998,0.16,-0.12,0.06,23.40,-18.91,41.23,41.2800004,69.2399990,1.2,8,0,0,3.82,-78,0
400,pre_launch,0.00,101335,18.48,48,0.005,-0.001,0.992,-0.05,0.14,0.07,23.54,-19.23,40.89,41.2799992,69.2400004,1.2,8,0,0,3.82,-78,0
500,pre_launch,0.00,101324,18.61,48,0.001,-0.000,1.000,0.04,0.07,-0.05,23.52,-19.40,40.92,41.2799992,69.2399991,1.2,8,0,0,3.82,-78,0
600,pre_launch,0.00,101303,18.60,48,0.000,-0.007,0.988,0.12,-0.06,-0.21,23.23,-19.04,41.43,41.2800004,69.2399991,1.2,8,0,0,3.82,-78,0
700,pre_launch,0.00,101314,18.54,48,0.006,0.000,0.995,-0.05,0.11,-0.01,23.91,-19.18,40.71,41.2799991,69.2400005,1.2,8,0,0,3.82,-78,0
799,pre_launch,0.00,101348,18.40,48,0.002,0.009,1.002,0.06,0.09,0.11,23.40,-18.99,41.09,41.2800003,69.2400004,1.2,8,0,0,3.82,-78,0
899,pre_launch,0.00,101342,18.32,48,0.003,0.002,0.998,-0.06,-0.11,-0.02,23.53,-19.21,41.33,41.2799999,69.2399998,1.2,8,0,0,3.82,-78,0
999,pre_launch,0.00,101337,18.46,48,0.014,-0.010,1.006,0.07,0.13,-0.15,23.39,-19.51,41.16,41.2799997,69.2400002,1.2,8,0,0,3.82,-78,0
1099,pre_launch,0.00,101300,18.50,48,0.008,0.002,0.995,0.05,0.07,-0.09,23.38,-18.90,41.30,41.2800002,69.2399991,1.2,8,0,0,3.82,-78,0
1200,pre_launch,0.00,101352,18.47,48,-0.003,-0.006,1.007,0.02,0.11,-0.04,23.75,-19.07,41.10,41.2800001,69.2400002,1.2,8,0,0,3.82,-78,0
1300,pre_launch,0.00,101342,18.26,48,0.001,-0.006,1.000,0.07,0.01,-0.03,23.64,-19.05,41.00,41.2799994,69.2399991,1.2,8,0,0,3.82,-78,0
1400,pre_launch,0.00,101335,18.47,48,-0.001,0.000,0.993,0.14,0.06,0.16,23.42,-18.84,40.80,41.2799993,69.2400001,1.2,8,0,0,3.82,-78,0
1500,pre_launch,0.00,101305,18.60,48,-0.001,0.002,0.998,-0.02,0.01,-0.25,23.09,-18.56,40.96,41.2799995,69.2400000,1.2,8,0,0,3.82,-78,0
1600,pre_launch,0.00,101344,18.54,48,0.000,-0.006,0.987,-0.04,-0.01,0.18,23.58,-19.17,41.04,41.2799995,69.2399994,1.2,8,1,1,3.82,-78,0
1700,pre_launch,0.00,101366,18.59,48,0.002,0.003,1.004,-0.08,0.01,-0.03,23.43,-18.75,41.16,41.2800010,69.2399996,1.2,8,0,1,3.82,-78,0
1800,pre_launch,0.00,101350,18.47,48,0.003,-0.002,0.998,0.18,-0.01,0.02,23.77,-19.05,41.31,41.2799994,69.2400002,1.2,8,0,1,3.82,-78,0
1900,pre_launch,0.00,101344,18.50,48,0.003,-0.011,0.999,-0.11,0.06,0.12,23.48,-19.17,41.31,41.2799998,69.2400004,1.2,8,1,2,3.82,-78,0
2000,pre_launch,0.00,101318,18.76,48,0.001,-0.004,0.989,0.06,-0.09,0.10,23.97,-19.04,41.16,41.2800000,69.2400003,1.2,8,0,2,3.82,-78,0
2100,pre_launch,0.00,101328,18.44,48,-0.004,-0.000,1.008,-0.04,-0.07,0.04,23.07,-19.30,41.37,41.2800003,69.2400000,1.2,8,0,2,3.82,-78,0
2200,pre_launch,0.00,101285,18.55,48,-0.001,-0.001,0.993,0.05,0.21,0.03,23.55,-19.17,41.29,41.2799992,69.2399993,1.2,8,0,2,3.82,-78,0
2300,pre_launch,0.00,101321,18.44,48,0.000,-0.001,0.998,-0.03,-0.05,-0.11,23.52,-19.01,41.16,41.2799998,69.2400003,1.2,8,0,2,3.82,-78,0
2400,pre_launch,0.00,101323,18.73,48,-0.001,0.007,0.995,0.04,-0.12,0.02,23.62,-18.97,41.52,41.2799996,69.2399997,1.2,8,0,2,3.82,-78,0
2500,pre_launch,0.00,101332,18.41,48,-0.001,-0.005,0.999,-0.09,0.06,0.01,23.43,-19.09,40.93,41.2800003,69.2399991,1.2,8,0,2,3.82,-78,0
