Category,Component,Part Number,Qty,Unit Price (USD),Mass (g),Supplier,Notes
OBC,STM32F446RE (QFN64),STM32F446RET6,1,8.00,2,ST,Main MCU on custom PCB
OBC,microSD Card Module,SD-SPI,1,3.00,2,Generic,Telemetry logging
Power,LiPo 3.7V 1000 mAh,LP-103450,1,10.00,22,Generic,Single-cell battery
Power,TPS61200 Boost + LDO,PWR-STD,1,3.00,3,TI,Dual rail 3.3V/5V
Sensor,IMU 9-DOF,BMI088,1,7.00,1,Bosch,Accel + gyro (mag via separate LIS3MDL)
Sensor,Magnetometer,LIS3MDL,1,3.50,1,ST,3-axis digital
Sensor,Barometer (MS5611),MS5611-01BA03,1,6.00,1,TE,Precision pressure
Sensor,Environmental,BME280,1,4.00,1,Bosch,Temp/humidity/pressure
GNSS,u-blox MAX-M10S,MAX-M10S,1,15.00,3,u-blox,Multi-GNSS receiver
GNSS,Ceramic patch ant.,ANT-GPS-25,1,5.00,6,Generic,25x25 mm
Comm,LoRa Module 433 MHz,RFM95W,1,5.00,3,HopeRF,Telemetry + cmd
Comm,Wire antenna (λ/4),WIRE-17cm,1,0.50,1,Generic,173 mm wire
Descent,Servo 9 g (chute release),SG90,1,2.00,9,Generic,Parachute mechanism
Descent,Parachute 300 mm,CHUTE-300,1,7.00,14,Custom,8 m/s descent rate target
Structure,Aluminium can housing,CAN-68x80,1,15.00,80,Custom,Ø68x80 mm CDS-compliant
Structure,PCB set (2-layer),PCB-CANSAT-STD,2,8.00,8,Custom,Main + sensor boards
Structure,PCB Spacers M2,M2-SPACER,8,0.20,4,Generic,Brass standoffs
Thermal,Foam impact pad,FOAM-IMPACT,1,2.00,6,Generic,Landing cushion
Harness,AWG30 wire kit,WIRE-30,1,3.00,2,Generic,Internal wiring
,,,,TOTAL,169,,Within 500 g CanSat mass budget (CDS Ø68 mm)
